movie_id,title,genre,director,language,release_year,rating,duration_min,popularity
82,Movie_82,Fantasy,Rahul Verma,French,2006,4.6,174,8529
83,Movie_83,Romance,Rahul Verma,French,2004,4.8,120,5988
84,Movie_84,Thriller,Arjun Gupta,Hindi,2002,7.8,101,2231
85,Movie_85,Drama,Arjun Gupta,English,2025,5.3,177,3649
86,Movie_86,"Romance, Adventure",Arjun Gupta,Hindi,2000,8.7,173,3586
87,Movie_87,"Romance, Action, Sci-Fi",Arjun Gupta,Spanish,2009,3.2,107,2080
88,Movie_88,Action,Arjun Gupta,English,2001,3.3,157,9150
89,Movie_89,"Sci-Fi, Adventure",Rahul Verma,French,2013,9.3,111,6466
90,Movie_90,"Thriller, Adventure, Drama",Raj Mehta,English,2019,3.7,143,8441
91,Movie_91,Action,Neha Kapoor,Hindi,2022,1.5,161,4645
92,Movie_92,Thriller,Raj Mehta,Hindi,2019,3.9,156,1736
93,Movie_93,"Sci-Fi, Comedy, Action",Priya Singh,Hindi,2008,10.0,90,5601
94,Movie_94,Thriller,Priya Singh,French,2018,2.7,116,6545
95,Movie_95,"Romance, Drama",Arjun Gupta,Spanish,2006,3.5,128,7966
96,Movie_96,"Drama, Romance",Neha Kapoor,Hindi,2021,2.6,122,7612
97,Movie_97,"Adventure, Romance, Action",Priya Singh,English,2002,4.1,101,9632
98,Movie_98,Adventure,Arjun Gupta,Spanish,2024,3.2,138,7646
99,Movie_99,"Adventure, Romance",Neha Kapoor,Spanish,2000,1.7,109,379
100,Movie_100,"Fantasy, Comedy, Sci-Fi",Rahul Verma,Hindi,2023,4.2,168,1214
101,Movie_101,Sci-Fi,Raj Mehta,French,2009,9.8,107,9583
102,Movie_102,Comedy,Arjun Gupta,Hindi,2009,7.3,145,9220
103,Movie_103,"Adventure, Action",Priya Singh,Spanish,2021,8.5,177,7739
104,Movie_104,Thriller,Arjun Gupta,English,2005,1.7,92,9216
105,Movie_105,Fantasy,Raj Mehta,Hindi,2023,2.4,156,5259
106,Movie_106,"Sci-Fi, Romance",Ankit Sharma,French,2014,7.5,116,8754
107,Movie_107,"Comedy, Fantasy, Action",Rahul Verma,French,2010,7.4,179,3895
108,Movie_108,"Adventure, Sci-Fi",Raj Mehta,English,2021,1.8,90,2609
109,Movie_109,"Drama, Romance, Fantasy",Ankit Sharma,French,2025,6.9,161,2852
110,Movie_110,Adventure,Neha Kapoor,French,2025,3.3,167,6189
111,Movie_111,"Fantasy, Adventure",Priya Singh,Spanish,2003,3.9,146,4805
112,Movie_112,Thriller,Neha Kapoor,French,2020,9.8,86,1101
113,Movie_113,"Drama, Action",Rahul Verma,Hindi,2023,8.4,138,7752
114,Movie_114,Romance,Arjun Gupta,Spanish,2014,9.0,108,4474
115,Movie_115,"Adventure, Sci-Fi",Rahul Verma,Spanish,2015,5.4,111,6695
116,Movie_116,"Action, Adventure, Fantasy",Arjun Gupta,Spanish,2018,1.2,110,9069
117,Movie_117,Action,Ankit Sharma,English,2021,5.7,125,782
118,Movie_118,"Sci-Fi, Romance",Priya Singh,Spanish,2014,8.1,147,9124
119,Movie_119,"Thriller, Romance, Adventure",Rahul Verma,French,2017,7.3,120,8018
120,Movie_120,"Adventure, Action",Neha Kapoor,English,2011,4.6,150,7373
121,Movie_121,Fantasy,Rahul Verma,French,2007,9.4,93,3966
122,Movie_122,"Fantasy, Adventure, Drama",Ankit Sharma,Spanish,2015,7.8,97,7325
123,Movie_123,"Thriller, Adventure, Sci-Fi",Arjun Gupta,Spanish,2015,8.3,133,3061
124,Movie_124,"Adventure, Thriller, Fantasy",Rahul Verma,Spanish,2002,4.0,83,4707
125,Movie_125,Action,Arjun Gupta,Hindi,2016,3.8,119,7895
126,Movie_126,Romance,Rahul Verma,Spanish,2015,4.4,172,9948
127,Movie_127,"Fantasy, Adventure",Rahul Verma,French,2000,1.1,90,6179
128,Movie_128,"Fantasy, Romance, Drama",Neha Kapoor,English,2024,6.4,125,7196
129,Movie_129,"Comedy, Adventure, Romance",Priya Singh,English,2013,6.5,110,9422
130,Movie_130,"Action, Fantasy",Priya Singh,English,2004,1.7,110,6227
131,Movie_131,Action,Priya Singh,English,2014,7.7,150,7150
132,Movie_132,Romance,Neha Kapoor,Hindi,2012,8.7,178,6645
133,Movie_133,Action,Rahul Verma,French,2018,1.2,163,367
134,Movie_134,"Comedy, Adventure, Fantasy",Ankit Sharma,Hindi,2016,7.2,172,1613
135,Movie_135,"Drama, Action",Ankit Sharma,English,2004,6.9,137,9224
136,Movie_136,"Thriller, Romance",Ankit Sharma,English,2009,2.5,90,3525
137,Movie_137,"Fantasy, Comedy",Rahul Verma,English,2005,3.5,163,3671
138,Movie_138,"Action, Adventure, Drama",Ankit Sharma,English,2004,8.7,102,3180
139,Movie_139,"Adventure, Sci-Fi, Drama",Neha Kapoor,Hindi,2014,8.0,89,3601
140,Movie_140,"Fantasy, Sci-Fi, Comedy",Arjun Gupta,Spanish,2013,7.4,177,1306
141,Movie_141,"Action, Comedy, Adventure",Ankit Sharma,French,2005,4.9,110,7555
142,Movie_142,Fantasy,Ankit Sharma,Spanish,2020,7.3,92,358
143,Movie_143,"Romance, Fantasy, Adventure",Priya Singh,Spanish,2016,8.9,154,9018
144,Movie_144,"Drama, Fantasy, Romance",Priya Singh,French,2013,2.2,120,878
145,Movie_145,Sci-Fi,Ankit Sharma,French,2013,2.8,108,8003
146,Movie_146,"Fantasy, Adventure, Action",Rahul Verma,French,2021,9.4,170,6991
147,Movie_147,"Thriller, Drama, Adventure",Rahul Verma,French,2024,2.2,113,867
148,Movie_148,Sci-Fi,Arjun Gupta,French,2011,2.1,152,8871
149,Movie_149,Fantasy,Raj Mehta,Spanish,2007,6.7,144,8135
150,Movie_150,Adventure,Rahul Verma,English,2000,9.8,113,944
151,Movie_151,"Drama, Romance, Fantasy",Priya Singh,Spanish,2016,8.2,91,1843
152,Movie_152,"Comedy, Drama",Rahul Verma,English,2021,9.4,158,8952
153,Movie_153,"Fantasy, Thriller",Ankit Sharma,Spanish,2005,5.5,156,1469
154,Movie_154,Sci-Fi,Arjun Gupta,English,2001,2.3,128,7878
155,Movie_155,"Adventure, Action",Rahul Verma,French,2005,8.2,132,3588
156,Movie_156,Adventure,Raj Mehta,Hindi,2015,9.1,135,4090
157,Movie_157,Sci-Fi,Priya Singh,French,2019,5.9,130,4370
158,Movie_158,Drama,Rahul Verma,French,2020,3.9,84,2165
159,Movie_159,Romance,Rahul Verma,French,2019,7.7,180,5878
160,Movie_160,Drama,Arjun Gupta,Spanish,2025,1.8,179,2877
161,Movie_161,"Thriller, Adventure, Comedy",Raj Mehta,French,2012,4.0,170,9501
162,Movie_162,"Drama, Sci-Fi, Adventure",Neha Kapoor,English,2010,2.1,115,9938
163,Movie_163,"Romance, Action",Raj Mehta,English,2023,9.4,88,5643
164,Movie_164,"Adventure, Thriller, Romance",Priya Singh,French,2016,3.3,126,7879
165,Movie_165,Adventure,Neha Kapoor,French,2001,6.1,143,2983
166,Movie_166,"Romance, Thriller",Ankit Sharma,English,2020,8.8,143,9040
167,Movie_167,"Thriller, Fantasy",Arjun Gupta,Spanish,2008,5.0,93,8446
168,Movie_168,"Drama, Thriller",Ankit Sharma,Hindi,2000,7.9,154,9291
169,Movie_169,Drama,Neha Kapoor,French,2019,2.8,147,9107
170,Movie_170,"Adventure, Comedy, Fantasy",Neha Kapoor,Spanish,2016,7.8,167,1160
171,Movie_171,"Thriller, Sci-Fi, Drama",Rahul Verma,English,2020,7.9,152,5355
172,Movie_172,"Sci-Fi, Fantasy",Neha Kapoor,French,2018,8.0,127,1870
173,Movie_173,"Drama, Sci-Fi",Rahul Verma,French,2025,6.0,171,9962
174,Movie_174,"Comedy, Romance",Raj Mehta,Hindi,2000,8.3,109,5661
175,Movie_175,Drama,Arjun Gupta,English,2003,7.7,176,3794
176,Movie_176,"Adventure, Romance",Neha Kapoor,French,2025,6.4,117,607
177,Movie_177,"Sci-Fi, Comedy, Fantasy",Priya Singh,Spanish,2017,8.4,172,2029
178,Movie_178,"Action, Adventure, Comedy",Neha Kapoor,English,2018,5.4,169,2905
179,Movie_179,Adventure,Priya Singh,French,2008,1.7,134,80
180,Movie_180,"Thriller, Romance",Raj Mehta,French,2013,7.0,154,5478
181,Movie_181,Sci-Fi,Neha Kapoor,Spanish,2012,1.4,103,6038
182,Movie_182,Thriller,Arjun Gupta,French,2002,2.3,135,2992
183,Movie_183,Romance,Arjun Gupta,Hindi,2012,6.7,145,2753
184,Movie_184,"Adventure, Fantasy, Action",Neha Kapoor,Hindi,2007,5.5,80,2196
185,Movie_185,Adventure,Rahul Verma,French,2019,1.8,82,6828
186,Movie_186,"Comedy, Action",Rahul Verma,English,2011,8.6,121,9124
187,Movie_187,"Fantasy, Action",Ankit Sharma,Spanish,2018,3.4,166,2748
188,Movie_188,Adventure,Rahul Verma,French,2005,8.1,103,4728
189,Movie_189,"Thriller, Drama",Priya Singh,Hindi,2008,1.2,168,3006
190,Movie_190,"Romance, Fantasy, Drama",Raj Mehta,French,2024,1.5,154,7097
191,Movie_191,"Thriller, Action",Ankit Sharma,Spanish,2024,6.3,167,759
192,Movie_192,"Fantasy, Adventure, Action",Neha Kapoor,Hindi,2023,6.7,177,6329
193,Movie_193,"Comedy, Drama, Action",Arjun Gupta,Spanish,2006,5.2,180,3753
194,Movie_194,"Action, Romance",Rahul Verma,French,2010,5.8,177,3949
195,Movie_195,Thriller,Priya Singh,Hindi,2014,3.1,143,4007
196,Movie_196,"Adventure, Comedy, Thriller",Ankit Sharma,English,2019,2.8,90,6688
197,Movie_197,"Romance, Adventure",Rahul Verma,Spanish,2004,4.1,84,6590
198,Movie_198,"Romance, Adventure, Drama",Arjun Gupta,English,2013,4.7,99,2205
199,Movie_199,"Action, Sci-Fi, Thriller",Priya Singh,French,2014,9.7,123,242
200,Movie_200,"Sci-Fi, Drama, Action",Neha Kapoor,Hindi,2021,7.8,92,4614
201,Movie_201,"Drama, Romance",Priya Singh,English,2002,5.4,141,7109
202,Movie_202,Comedy,Rahul Verma,Hindi,2015,6.4,87,9082
203,Movie_203,Comedy,Rahul Verma,English,2013,3.8,127,7676
204,Movie_204,Action,Priya Singh,English,2009,9.7,126,7984
205,Movie_205,"Drama, Fantasy",Raj Mehta,Hindi,2023,1.3,91,8434
206,Movie_206,"Thriller, Fantasy, Comedy",Priya Singh,English,2017,2.9,176,9294
207,Movie_207,"Sci-Fi, Action",Ankit Sharma,English,2023,3.5,135,2451
208,Movie_208,"Thriller, Comedy",Priya Singh,French,2022,2.9,101,1167
209,Movie_209,"Drama, Sci-Fi",Ankit Sharma,Hindi,2010,2.3,166,5789
210,Movie_210,"Action, Thriller, Romance",Raj Mehta,French,2018,4.0,152,6906
211,Movie_211,"Thriller, Comedy, Drama",Rahul Verma,English,2022,7.9,124,3428
212,Movie_212,"Sci-Fi, Comedy, Adventure",Raj Mehta,French,2023,4.0,97,7529
213,Movie_213,"Sci-Fi, Comedy",Arjun Gupta,Hindi,2018,2.8,122,8624
214,Movie_214,Thriller,Arjun Gupta,Hindi,2014,2.4,88,6093
215,Movie_215,"Drama, Sci-Fi",Raj Mehta,French,2013,3.4,81,1327
216,Movie_216,Sci-Fi,Arjun Gupta,French,2019,2.2,96,4710
217,Movie_217,"Comedy, Fantasy",Raj Mehta,Spanish,2019,4.3,177,4432
218,Movie_218,"Action, Adventure",Neha Kapoor,French,2025,4.4,132,6112
219,Movie_219,"Action, Comedy",Ankit Sharma,Hindi,2013,3.1,92,8495
220,Movie_220,"Thriller, Fantasy",Neha Kapoor,Spanish,2011,2.0,153,8758
221,Movie_221,"Drama, Fantasy, Adventure",Raj Mehta,Spanish,2024,3.2,130,3610
222,Movie_222,"Adventure, Comedy, Fantasy",Priya Singh,English,2017,9.4,139,3386
223,Movie_223,"Sci-Fi, Action",Neha Kapoor,English,2010,2.0,102,2542
224,Movie_224,Comedy,Raj Mehta,English,2007,4.7,141,7464
225,Movie_225,"Thriller, Sci-Fi",Ankit Sharma,French,2002,1.6,150,7959
226,Movie_226,"Thriller, Action",Ankit Sharma,English,2020,8.6,99,6326
227,Movie_227,"Romance, Action",Arjun Gupta,Spanish,2021,7.6,96,421
228,Movie_228,Romance,Ankit Sharma,Spanish,2025,2.1,153,9272
229,Movie_229,"Fantasy, Comedy, Thriller",Arjun Gupta,Spanish,2020,9.1,174,5896
230,Movie_230,Romance,Raj Mehta,Spanish,2015,6.7,119,5388
231,Movie_231,"Drama, Thriller",Rahul Verma,Spanish,2015,6.3,134,7764
232,Movie_232,"Romance, Drama",Arjun Gupta,Hindi,2004,2.8,111,7141
233,Movie_233,"Drama, Thriller, Adventure",Rahul Verma,French,2006,5.3,83,9082
234,Movie_234,Sci-Fi,Neha Kapoor,Hindi,2017,8.6,88,7644
235,Movie_235,"Sci-Fi, Comedy, Drama",Neha Kapoor,French,2013,5.5,116,4224
236,Movie_236,"Action, Romance",Rahul Verma,Spanish,2010,3.5,122,9899
237,Movie_237,"Romance, Adventure, Sci-Fi",Arjun Gupta,English,2005,3.4,111,7794
238,Movie_238,Fantasy,Raj Mehta,French,2005,8.9,94,8577
239,Movie_239,Fantasy,Priya Singh,French,2009,1.8,86,7209
240,Movie_240,"Action, Comedy",Ankit Sharma,French,2004,1.5,170,9280
241,Movie_241,Fantasy,Priya Singh,French,2015,4.1,112,8801
242,Movie_242,"Fantasy, Romance",Rahul Verma,English,2018,9.2,108,7556
243,Movie_243,"Drama, Adventure, Fantasy",Rahul Verma,Spanish,2022,2.0,113,6694
244,Movie_244,"Adventure, Sci-Fi, Action",Neha Kapoor,Spanish,2019,4.3,175,5199
245,Movie_245,"Romance, Adventure",Rahul Verma,English,2022,5.1,168,4610
246,Movie_246,"Comedy, Thriller",Ankit Sharma,English,2018,5.3,171,3178
247,Movie_247,Action,Neha Kapoor,English,2015,6.5,124,3850
248,Movie_248,Sci-Fi,Priya Singh,French,2018,7.1,89,8757
249,Movie_249,Thriller,Raj Mehta,French,2021,5.6,136,8148
250,Movie_250,Thriller,Ankit Sharma,Hindi,2001,5.1,114,3795
251,Movie_251,"Adventure, Romance, Fantasy",Priya Singh,Spanish,2020,2.7,170,9518
252,Movie_252,Thriller,Rahul Verma,Spanish,2005,7.3,113,897
253,Movie_253,"Action, Sci-Fi",Priya Singh,Spanish,2013,6.9,175,1546
254,Movie_254,Comedy,Neha Kapoor,Hindi,2022,8.9,158,2438
255,Movie_255,"Adventure, Romance, Drama",Arjun Gupta,French,2019,5.5,136,9627
256,Movie_256,Comedy,Ankit Sharma,Spanish,2017,3.4,172,196
257,Movie_257,"Romance, Action, Fantasy",Neha Kapoor,Hindi,2006,4.9,112,8
258,Movie_258,Thriller,Ankit Sharma,Spanish,2025,9.7,174,9432
259,Movie_259,Drama,Raj Mehta,Spanish,2020,4.8,113,3084
260,Movie_260,Comedy,Arjun Gupta,English,2007,6.3,95,1799
261,Movie_261,"Drama, Thriller, Romance",Rahul Verma,French,2015,5.2,165,2541
262,Movie_262,Comedy,Raj Mehta,English,2007,7.6,167,1494
263,Movie_263,"Romance, Sci-Fi, Action",Arjun Gupta,English,2021,4.6,128,3312
264,Movie_264,"Sci-Fi, Thriller, Action",Rahul Verma,French,2002,5.8,161,7152
265,Movie_265,Fantasy,Raj Mehta,English,2003,3.7,97,3130
266,Movie_266,"Fantasy, Action, Romance",Ankit Sharma,French,2015,9.4,113,1308
267,Movie_267,"Romance, Thriller",Neha Kapoor,French,2019,1.2,151,7053
268,Movie_268,Fantasy,Neha Kapoor,English,2001,3.4,136,8579
269,Movie_269,"Sci-Fi, Romance, Comedy",Raj Mehta,French,2004,6.6,154,3762
270,Movie_270,"Fantasy, Adventure, Action",Ankit Sharma,English,2025,3.2,157,2440
271,Movie_271,"Thriller, Drama",Priya Singh,Hindi,2005,1.8,110,4565
272,Movie_272,"Fantasy, Action",Priya Singh,Hindi,2001,4.3,94,2279
273,Movie_273,"Drama, Sci-Fi",Ankit Sharma,French,2005,8.5,132,5072
274,Movie_274,"Sci-Fi, Drama",Priya Singh,French,2023,4.8,177,1167
275,Movie_275,"Romance, Comedy, Thriller",Ankit Sharma,English,2024,4.3,99,6859
276,Movie_276,"Adventure, Romance",Ankit Sharma,Spanish,2003,1.1,80,8008
277,Movie_277,"Comedy, Sci-Fi, Action",Arjun Gupta,Spanish,2008,4.5,147,7385
278,Movie_278,"Action, Comedy, Fantasy",Ankit Sharma,English,2004,4.9,103,655
279,Movie_279,"Drama, Thriller",Neha Kapoor,English,2017,5.1,118,1287
280,Movie_280,"Comedy, Thriller, Adventure",Rahul Verma,Spanish,2024,6.5,111,338
281,Movie_281,"Sci-Fi, Thriller, Action",Rahul Verma,Spanish,2009,7.6,83,3397
282,Movie_282,"Action, Drama",Rahul Verma,English,2010,3.4,164,3188
283,Movie_283,"Fantasy, Adventure, Thriller",Arjun Gupta,English,2010,7.2,134,415
284,Movie_284,Comedy,Raj Mehta,English,2009,5.6,160,2156
285,Movie_285,"Drama, Romance",Rahul Verma,English,2000,3.6,149,406
286,Movie_286,Fantasy,Priya Singh,Spanish,2020,2.6,91,5219
287,Movie_287,Sci-Fi,Raj Mehta,Spanish,2013,8.2,177,9618
288,Movie_288,"Sci-Fi, Fantasy",Raj Mehta,French,2024,1.8,172,2282
289,Movie_289,"Sci-Fi, Fantasy, Thriller",Arjun Gupta,French,2023,9.1,123,6456
290,Movie_290,Fantasy,Ankit Sharma,Hindi,2023,4.2,129,1304
291,Movie_291,Drama,Neha Kapoor,English,2007,7.9,88,9309
292,Movie_292,Action,Raj Mehta,Hindi,2001,9.8,88,1972
293,Movie_293,"Romance, Comedy",Rahul Verma,English,2019,5.3,110,7848
294,Movie_294,"Drama, Fantasy",Rahul Verma,Hindi,2020,1.4,140,7593
295,Movie_295,"Comedy, Adventure",Priya Singh,English,2005,5.9,180,2637
296,Movie_296,Thriller,Arjun Gupta,Spanish,2006,2.7,135,963
297,Movie_297,"Sci-Fi, Drama",Raj Mehta,English,2005,5.4,169,4974
298,Movie_298,"Fantasy, Sci-Fi, Drama",Rahul Verma,English,2021,6.5,111,5829
299,Movie_299,Fantasy,Rahul Verma,English,2019,5.2,116,9377
300,Movie_300,"Comedy, Action",Rahul Verma,English,2022,8.2,132,6776
301,Movie_301,"Romance, Action, Sci-Fi",Neha Kapoor,Spanish,2016,9.6,138,6555
302,Movie_302,Thriller,Arjun Gupta,Hindi,2022,7.7,118,4757
303,Movie_303,Thriller,Arjun Gupta,Spanish,2021,6.4,127,3349
304,Movie_304,"Adventure, Drama",Arjun Gupta,French,2013,4.2,146,7125
305,Movie_305,"Action, Sci-Fi",Priya Singh,French,2010,7.8,127,697
306,Movie_306,"Sci-Fi, Thriller, Fantasy",Ankit Sharma,Hindi,2021,2.1,99,7391
307,Movie_307,"Comedy, Romance, Action",Arjun Gupta,Hindi,2025,5.9,150,8753
308,Movie_308,"Adventure, Comedy",Ankit Sharma,Hindi,2002,2.4,178,4314
309,Movie_309,"Action, Comedy, Drama",Raj Mehta,Hindi,2017,3.3,116,5101
310,Movie_310,"Action, Sci-Fi, Comedy",Rahul Verma,English,2012,2.3,119,9590
311,Movie_311,"Fantasy, Action, Romance",Rahul Verma,Hindi,2004,7.1,142,2309
312,Movie_312,Action,Ankit Sharma,English,2014,5.8,164,3388
313,Movie_313,"Fantasy, Romance",Arjun Gupta,Hindi,2007,7.7,90,7984
314,Movie_314,"Sci-Fi, Adventure",Priya Singh,Hindi,2002,9.4,125,4892
315,Movie_315,Fantasy,Raj Mehta,Hindi,2018,3.1,129,3656
316,Movie_316,Sci-Fi,Priya Singh,Spanish,2006,7.9,83,4475
317,Movie_317,"Drama, Sci-Fi, Action",Ankit Sharma,English,2019,1.9,129,6889
318,Movie_318,"Romance, Comedy, Action",Priya Singh,Hindi,2006,8.2,97,8054
319,Movie_319,Comedy,Arjun Gupta,Spanish,2020,9.6,105,6342
320,Movie_320,"Romance, Thriller",Arjun Gupta,Spanish,2002,6.2,114,8729
321,Movie_321,"Adventure, Drama, Thriller",Priya Singh,Spanish,2024,3.6,147,8035
322,Movie_322,"Romance, Adventure, Thriller",Raj Mehta,Spanish,2006,1.6,149,5070
323,Movie_323,Fantasy,Ankit Sharma,French,2013,6.8,178,3687
324,Movie_324,Thriller,Ankit Sharma,Spanish,2004,2.9,107,2982
325,Movie_325,"Sci-Fi, Drama",Arjun Gupta,French,2010,10.0,99,9037
326,Movie_326,Comedy,Arjun Gupta,English,2008,3.8,102,8008
327,Movie_327,"Action, Sci-Fi",Priya Singh,Spanish,2012,9.5,83,6611
328,Movie_328,"Adventure, Comedy",Neha Kapoor,English,2020,5.2,86,5051
329,Movie_329,"Adventure, Romance",Neha Kapoor,English,2020,1.8,95,9748
330,Movie_330,Fantasy,Neha Kapoor,English,2022,7.9,108,2503
331,Movie_331,Fantasy,Arjun Gupta,Spanish,2010,5.0,109,147
